IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIENIEŃ
ANTONI,MĘŻCZYZNA,6670
JAN,MĘŻCZYZNA,6341
ALEKSANDER,MĘŻCZYZNA,6201
NIKODEM,MĘŻCZYZNA,6155
FRANCISZEK,MĘŻCZYZNA,5696
JAKUB,MĘŻCZYZNA,5535
LEON,MĘŻCZYZNA,5091
MIKOŁAJ,MĘŻCZYZNA,4499
STANISŁAW,MĘŻCZYZNA,4265
FILIP,MĘŻCZYZNA,4107
IGNACY,MĘŻCZYZNA,4086
SZYMON,MĘŻCZYZNA,4069
WOJCIECH,MĘŻCZYZNA,3539
ADAM,MĘŻCZYZNA,3348
KACPER,MĘŻCZYZNA,3251
TYMON,MĘŻCZYZNA,3164
MARCEL,MĘŻCZYZNA,3081
MAKSYMILIAN,MĘŻCZYZNA,3055
MICHAŁ,MĘŻCZYZNA,2758
WIKTOR,MĘŻCZYZNA,2709
OLIWIER,MĘŻCZYZNA,2551
TYMOTEUSZ,MĘŻCZYZNA,2278
MIŁOSZ,MĘŻCZYZNA,2234
IGOR,MĘŻCZYZNA,2226
JULIAN,MĘŻCZYZNA,2040
PIOTR,MĘŻCZYZNA,1987
OSKAR,MĘŻCZYZNA,1932
GABRIEL,MĘŻCZYZNA,1712
DAWID,MĘŻCZYZNA,1489
KRZYSZTOF,MĘŻCZYZNA,1352
BARTOSZ,MĘŻCZYZNA,1315
DOMINIK,MĘŻCZYZNA,1271
NATAN,MĘŻCZYZNA,1222
BRUNO,MĘŻCZYZNA,1214
MATEUSZ,MĘŻCZYZNA,1209
HUBERT,MĘŻCZYZNA,1152
KAROL,MĘŻCZYZNA,1141
ALAN,MĘŻCZYZNA,1058
FABIAN,MĘŻCZYZNA,1014
TOMASZ,MĘŻCZYZNA,977
MACIEJ,MĘŻCZYZNA,975
HENRYK,MĘŻCZYZNA,948
TADEUSZ,MĘŻCZYZNA,892
CEZARY,MĘŻCZYZNA,892
ARTUR,MĘŻCZYZNA,858
KSAWERY,MĘŻCZYZNA,849
PAWEŁ,MĘŻCZYZNA,753
MILAN,MĘŻCZYZNA,727
DANIEL,MĘŻCZYZNA,717
KAZIMIERZ,MĘŻCZYZNA,674
KUBA,MĘŻCZYZNA,674
KAJETAN,MĘŻCZYZNA,660
BORYS,MĘŻCZYZNA,656
BARTŁOMIEJ,MĘŻCZYZNA,650
JÓZEF,MĘŻCZYZNA,615
WITOLD,MĘŻCZYZNA,595
TEODOR,MĘŻCZYZNA,591
